Task Ref,Task Property,Task Category,Task Service Group,Task Round,Task Supporting Technicians,Task Description,Task Source Defect Quote Ref,Task Source Service Quote Ref,Task Authorisation Ref,Task Status,Task Author,Task Salesperson,Task Created Date,Task Performed Date,Task Invoiced Date,Task Days to Complete,Task Days to Invoice
T-37409,"Mr EH - 1 Ross Street, Glebe, NSW 2037",I&T,M COMBINED,,,"Apr 2026 routine servicing (2 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,2.04,
T-38562,"Barangaroo Culture Space Building - Cnr Towns Place and Dalgety Road, Millers Point, NSW 2000",Repair,,,,Diesel Fuel,QD-2659,,20211456,COMPLETE,Mariette Henderson,,7 April     2026,,10 April     2026,,
T-38154,"Mr EH - 1 Ross Street, Glebe, NSW 2037",I&T,M COMBINED,,,Apr 2026 routine servicing (1 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (1),,,"",COMPLETE,Office Account,,2 April     2026,2 April     2026,,0.11,
T-37525,"11A & 11B Grand Avenue, Camellia, NSW 2142",I&T,M COMBINED,,,"Apr 2026 routine servicing (5 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,1.88,
T-37291,"POLYCELL - 18 Lidco Street, Arndell Park, NSW 2148",Repair,,,,Refueling 23 March 2026,,SQ-0711,NSW20260300023,COMPLETE,Rose Lopino,Rose Lopino,30 March     2026,,9 April     2026,,
T-33138,"LOGOS - 246 Miller Road, Villawood, NSW 2165",I&T,M SPRINKLER,,,"Mar 2026 routine servicing (2 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (1)",,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.82,
T-39419,"112 Wharf Road, Melrose Park, NSW 2114",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,CTR0023607,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-25362,"Centuria - 160 Newton Road, Wetherill Park, NSW 2164",I&T,A FPT PASSIVE,,,Jan 2026 routine servicing (28 items): Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (28),,,"",COMPLETE,Office Account,,9 December  2025,10 December  2025,,1.12,
T-39418,"11-13 Orion Road, Lane Cove West, NSW 2066",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,, 000000003947967 - April,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-37398,"Carlton & United Breweries/Linfox - 5 Devon Street, Rosehill, NSW 2142",I&T,M COMBINED,,,"Apr 2026 routine servicing (26 items): Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Six-monthly (2), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Six-monthly (7), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Six-monthly (3), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,2.02,
T-38215,"Resolution X - 21B Richmond Road, Homebush West, NSW 2140",Callout,R SPRINKLER,,Daniel Peteru,Top up valve leaking,,,Anthony 2/4/26,COMPLETE,Jade Ogony,,2 April     2026,2 April     2026,9 April     2026,0.04,7.17
T-39409,"15-19 McPherson St, Banksmeadow, NSW 2019",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-37404,"Chep Australia - 2 Quarry Road, Erskine Park, NSW 2759",I&T,M COMBINED,,,"Mar 2026 routine servicing (4 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Six-monthly (2), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Six-monthly (1), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Six-monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.11,
T-39392,"1 YORK - 1 York Street, Sydney, NSW 2000",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004086846 -April 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-37526,"11A & 11B Grand Avenue, Camellia, NSW 2142",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,1.99,
T-25361,"Centuria - 160 Newton Road, Wetherill Park, NSW 2164",I&T,A EELS,,Haider Al-Heyoury,Jan 2026 routine servicing (0 items): Emergency Escape Lighting & Exit Signs (AS 2293-2019: Section 2): Annual (0),,,"",COMPLETE,Office Account,,9 December  2025,17 December  2025,,8.00,
T-39390,"Visy Recycling - 112 Euston Road, Alexandria, NSW 2015",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004002774- April  2026  ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-37415,"Westlands Industrial Estate - 33-45 James Erskine Drive, Erskine Park, NSW 2759",I&T,M COMBINED,,,"Mar 2026 routine servicing (4 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Six-monthly (2), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Six-monthly (1), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Six-monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.14,
T-39389,"223-225 Liverpool Street, Darlinghurst, NSW 2010",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,PO6934436_201010- April 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-38155,"Bevchain - 17-21 Percy Street, Auburn, NSW 2144",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (8 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Weekly (Custom) (3), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (5)",,,"",COMPLETE,Office Account,,2 April     2026,2 April     2026,,0.19,
T-39385,"Pengton - 80 George Street, Parramatta, NSW 2150",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,, SO7183332_201010 - End Aug 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.17
T-34301,"Hellman/Astron/ Kingsley (Common pump rm) - 6 Brooks Road, Ingleburn, NSW 2565",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-03-01 to 2026-03-31,,,PO 320,COMPLETE,,,10 March     2026,10 March     2026,2 April     2026,0.00,23.16
T-39377,"28 Percival Road, Smithfield, NSW 2164",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004006148- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.17
T-38554,"Eaton - 10 Kent Road, Mascot, NSW 2020",I&T,M COMBINED,,,"Apr 2026 routine servicing (5 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Weekly (Custom) (3), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (2)",,,"",COMPLETE,Office Account,,7 April     2026,8 April     2026,,1.16,
T-39375,"Lend Lease Funds Management - 1A Bessemer Street, Blacktown, NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004003343- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-39373,"82 Belmore Road North, Riverwood, NSW 2210",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004003254- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-38248,"Bevchain - 17-21 Percy Street, Auburn, NSW 2144",Repair,FUEL,,,Diesel Fuel required -,,SQ-0583,4300113151,COMPLETE,Mariette Henderson,,2 April     2026,7 April     2026,8 April     2026,5.08,1.18
T-39372,"Abbott Industrial Centre - Building A - 152 Miller Road, Chester Hill, NSW 2162",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,, SO7178386_201010 -30/6/26 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-37470,"PFM Corp (BLDG 2) - 147-151 Newton Road, Wetherill Park, NSW 2164",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,0.99,
T-39369,"NIMBE - 39-47 Regent Street, Chippendale, NSW 2008",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-39368,"YORKAY - 131 York Street, Sydney, NSW 2000",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-32691,"Goodman AU645 - Campus Business Park - 350-374 Parramatta Road, Homebush West, NSW, 2140",Repair,R DETECTION,,"Gordon Jenkins, Nu Unasa",FIP Monthly Battery defects,QD-2407,,Work Order No: 335198  Purchase Order No: 585251,COMPLETE,Jamie Wright,,26 February  2026,1 April     2026,8 April     2026,33.98,7.08
T-37475,"Costco Casula - 20 Parkers Farm Place, Casula, 2170 NSW",I&T,M DETECTION,,,"Apr 2026 routine servicing (5 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (3), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Special Hazard: Gaseous Suppression System (AS 1851-2012 Section 7): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,7.97,
T-39366,"71 Owen Street, Glendenning, NSW 2761",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000003990913 -April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-25365,"Centuria - 8 Hexham Place, Wetherill Park, NSW 2164",I&T,A FPT PASSIVE,,,"Jan 2026 routine servicing (13 items): Service Penetrations, Control Joints (AS 1851:2012 Section 12): Annual (0), Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (13)",,,"",COMPLETE,Office Account,,9 December  2025,17 December  2025,,7.87,
T-37466,"Webstar/Bluestar - Units 1, 2 & 3 - 83 Derby Street, Silverwater, 2128 - NSW 237",I&T,M COMBINED,,,"Apr 2026 routine servicing (10 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (5), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.01,
T-39363,"Mr EH - 1 Ross Street, Glebe, NSW 2037",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-38250,"1333 The Horsley Drive, Wetherill Park, NSW 2164",Repair,,,,Refueling - April 2026,,SQ-0739,PO6940605_201010,COMPLETE,Mariette Henderson,Rose Lopino,2 April     2026,,10 April     2026,,
T-25364,"Centuria - 8 Hexham Place, Wetherill Park, NSW 2164",I&T,A EELS,,Haider Al-Heyoury,Jan 2026 routine servicing (31 items): Emergency Escape Lighting & Exit Signs (AS 2293-2019: Section 2): Annual (31),,,"",COMPLETE,Office Account,,9 December  2025,17 December  2025,,7.99,
T-39362,"Ultimo Trade Centre -  28-48 Wattle Street, Ultimo, NSW 2007",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-37527,"Gateway Business Park - Unit 3/9/10 - 63-79 Parramatta Road, Silverwater, NSW 2128",I&T,M DETECTION,,,"Apr 2026 routine servicing (3 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,0.91,
T-37602,"Pavesi Industrial Estate - 25-31 Pavesi Street, Guildford, NSW 2161",I&T,M SPRINKLER,,Mark Sorridimi,"Apr 2026 routine servicing (7 items): Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (2), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (2)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.23,
T-39358,"36 Honeycomb Drive, Eastern Creek, NSW 2766",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000003997707 - April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-38152,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",I&T,M COMBINED,,,"Apr 2026 routine servicing (4 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Weekly (Custom) (3), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (1)",,,"",COMPLETE,Office Account,,2 April     2026,2 April     2026,,0.23,
T-38281,"Mr EH - 1 Ross Street, Glebe, NSW 2037",I&T,M COMBINED,,,Apr 2026 routine servicing (1 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Weekly (Custom) (1),,,"",COMPLETE,Office Account,,2 April     2026,9 April     2026,,6.88,
T-39371,"Club Ashfield - 1-11 Charlotte Street, Ashfield, NSW 2131",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-38942,Centennial Park - Grand Drive Sydney NSW 2021,Repair,R DETECTION,,,Smoke Alarm + Thermal Alarm Installation (Wireless Base + Relay),QD-2664,,"",COMPLETE,Casper Tavitian,,8 April     2026,10 April     2026,10 April     2026,2.12,0.10
T-37427,"Australian Red Cross Lifeblood - 17 O'Riordan Street, Alexandria, NSW 2015",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (7 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (4), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1), Fire Sprinkler System: Pre-Action (AS 1851:2012 Section 2): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.24,
T-39357,"Pavesi Industrial Estate - 25-31 Pavesi Street, Guildford, NSW 2161",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7178390_201010 - July 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-37506,"Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170",I&T,M DETECTION,,,"Apr 2026 routine servicing (12 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (11), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.25,
T-39347,"Blackwoods - 1-3 Bellevue Circuit, Greystanes, NSW 2145",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-37503,"Goodman AU877 - Silverwater D/C - Warehouse 1/2 - 4 Newington Road, Silverwater, NSW 1044",I&T,M DETECTION,,,"Apr 2026 routine servicing (3 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.03,
T-37742,"MAERSK & L+F - Building 2 - 145 Hollinsworth Road, Marsden Park, NSW 2765",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (13 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (9), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,2.07,
T-37732,"LOGOS - Shared Services - 145 Hollinsworth Road, Marsden Park, NSW 2765",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (4 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,1.97,
T-39353,"Barangaroo Culture Space Building - Cnr Towns Place and Dalgety Road, Millers Point, NSW 2000",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,5328OM41922888- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-38941,Centennial Park - Grand Drive Sydney NSW 2021,Repair,R DETECTION,,,Smoke Alarm + Thermal Alarm Installation (Wireless Base + Relay),QD-2668,,"",COMPLETE,Casper Tavitian,,8 April     2026,10 April     2026,10 April     2026,2.09,0.15
T-37730,"LOGOS - Orrcon Steel - Building 1- 145 Hollinsworth Road, Marsden Park, NSW 2765",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (8 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (4), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,2.11,
T-37645,"Baxter - 164 Newton Road, Wetherill Park, NSW 2164",I&T,M COMBINED,,,"Apr 2026 routine servicing (16 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Six-monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Six-monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Six-monthly (1), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3),",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.09,
T-39351,"The Kitchenary - 27 Holbeche Road, Arndell Park, NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,4130581- April 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-37635,"LOGOS - H&M - Building 3 - 145 Hollinsworth Road, Marsden Park - NSW 2765",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (10 items): Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (6)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,2.01,
T-37515,"Goodman AU641 - Gardeners Distribution Centre - 546 Gardeners Road, Mascot, NSW 2020",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (11 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (5), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (4), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (2)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.23,
T-39349,"D.J.Wear - 117 York Street, Sydney, NSW 2000",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-37589,"Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128",I&T,M DETECTION,,,"Apr 2026 routine servicing (13 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (12), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.13,
T-37518,"7 Box Road, Taren Point, NSW 2229",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,9 April     2026,,9.07,
T-35667,"DLP - Warehouse 7, 44 Clunies Ross Street, Pemulwuy",I&T,A DETECTION,,Haider Al-Heyoury,"Mar 2026 routine servicing (1 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Annual (0), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Annual (1)",,,"",COMPLETE,Jade Ogony,,18 March     2026,9 April     2026,,21.93,
T-37520,"36 Honeycomb Drive, Eastern Creek, NSW 2766",I&T,M COMBINED,,,"Apr 2026 routine servicing (18 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Six-monthly (4), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Six-monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Six-monthly (1), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (4), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3),",,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,6.99,
T-37400,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",I&T,M COMBINED,,,"Apr 2026 routine servicing (4 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,2.16,
T-37529,"Blacktown City Council - 81-85 Flushcombe Road, Blacktown, NSW 2148",I&T,M COMBINED,,,"Apr 2026 routine servicing (7 items): Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Six-monthly (2), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,14 April     2026,,14.15,
T-34264,"JOY Building - 78 Kent Road, Mascot NSW 2020",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-03-01 to 2026-03-31,,,172140- March,COMPLETE,,,10 March     2026,10 March     2026,9 April     2026,0.00,30.12
T-39535,"Toll Group- 616 Great Western Hwy, Arndell Park NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2025-12-01 to 2025-12-31,,,17295651 - April 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.00
T-37535,"LAPP - 12 Grevillea Street,  Eastern Creek, NSW 2766",I&T,M COMBINED,,,"Apr 2026 routine servicing (7 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (1), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,7 April     2026,,7.02,
T-37541,"Silverwater Industrial Park -  Corner Fariola St, Slough Ave & Rachael Cl Silverwater, NSW 2128",I&T,M DETECTION,,,"Apr 2026 routine servicing (2 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.14,
T-37540,"Rural Fire Brigade - 42 Lamb Street, Glendenning, NSW 2761",I&T,M COMBINED,,,"Apr 2026 routine servicing (16 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Six-monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Six-monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Six-monthly (1), Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3),",,,"",COMPLETE,Office Account,,31 March     2026,31 March     2026,,0.19,
T-37524,"1 YORK - 1 York Street, Sydney, NSW 2000",I&T,M COMBINED,,,"Apr 2026 routine servicing (15 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (5), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (6), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,2 April     2026,,1.94,
T-37543,"Freight Assist Australia - 26 Pavesi Street, Guildford, NSW 2161",I&T,M SPRINKLER,,,"Apr 2026 routine servicing (7 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Water Storage Tanks For Fire Protection Systems (AS 1851:2012 Section 5): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,8 April     2026,,8.19,
T-33068,"Union NSW - 4-10 Goulburn Street, Sydney, NSW 2000",I&T,M SPRINKLER,,,"Mar 2026 routine servicing (8 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (4), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Fire Sprinkler System: Drenchers (Wall Wetting) (AS 1851:2012 Section 2): Monthly (1)",,,"",COMPLETE,Office Account,,27 February  2026,30 March     2026,,30.72,
T-38050,"Centuria - K&S Freighters - 1 Hope Street, Strathfield South, NSW 2136",Callout,FUEL,,,Fuel required Monthly as per Abdullah,,,A20019_2600039,COMPLETE,Mariette Henderson,,1 April     2026,7 April     2026,8 April     2026,6.17,1.17
